ID;Text;Username;Name;Language;Created at;Actor/actress name
1404410598125752321;RT @Aaryan_in_exile: Meeru nijanga brahmanandam fans aithey ayana head ayanaki unchandi ra chalu;AADSTYLISHSTAR;KC AADHF;in;2021-06-14 12:09:13;Brahmanandam
1404409285728112643;"When the newly joined 2 years experienced full-stack developer tells you ""By using #microservices architecture we c… https://t.co/O8oFetx7gA";sivalabs;Siva;en;2021-06-14 12:04:01;Brahmanandam
1404403750450696194;RT @Aaryan_in_exile: Meeru nijanga brahmanandam fans aithey ayana head ayanaki unchandi ra chalu;AdityaE07149331;Aditya E;in;2021-06-14 11:42:01;Brahmanandam
1404399441704939523;RT @Aaryan_in_exile: Meeru nijanga brahmanandam fans aithey ayana head ayanaki unchandi ra chalu;aananddaamm;Sushhhuu🕊️;in;2021-06-14 11:24:54;Brahmanandam
1404447519417913351;RT @rishibagree: https://t.co/l7ig5ZgcZQ;avinash_verma23;Avinash Verma;und;2021-06-14 14:35:56;Avinash
1404447487104937989;"#Happiness|Shri Sunderlal Bahuguna, the Green Leader of India, will remain in our #hearts for long

 Great privileg… https://t.co/cbcVkCACKs";avinash_alag;Avinash Singh Alag;en;2021-06-14 14:35:48;Avinash
1404447345262034952;"RT @MeghUpdates: Romania Bans Chinese Telecom Major Huawei from its 5G Network ; President of Romania Signs Bill";avinash_verma23;Avinash Verma;en;2021-06-14 14:35:15;Avinash
1404447206761848837;"RT @AAOLion: EshaDi
CHETU Bhai
CG Dada
Rajput Dadda
Narottam Bhai
SaundiDa
Avinash Dadda
Arun Dadda
Arun gurudev
Leher Di
Patel Sir
CMB Sir…";Rakesh25182;Rakesh Aggarwal राकेश अग्रवाल ਰਾਕੇਸ਼ ਅਗ੍ਰਵਾਲ;und;2021-06-14 14:34:42;Avinash
1404446702417809408;RT @JaiTDP: మంగళగిరి నియోజకవర్గంలో ఇసుక మాఫియా చెలరేగిపోతోంది. అధికార పార్టీ అండదండలతో కృష్ణా జిల్లా సరిహద్దులు దాటి కోర్టు వివాదాల్లో వు…;avinash_jampala;భవాని పుత్ర అవినాష్;te;2021-06-14 14:32:41;Avinash
1404446351170043907;ಪೆಟ್ರೋಲ್ ಬೆಲೆ ಜಾಸ್ತಿ ಆಯ್ತು ಅಂತ ಬೈಕ್ ನದಿಗೆ ಎಸೆದರು. ಬಂಗಾರದ ಬೆಲೆ ಜಾಸ್ತಿ ಆಗಿದೆ, ಕಾಂಗ್ರೆಸ್ನವರೆ ಬಂಗಾರ ನದಿಗೆ ಎಸೆಯುವ ಕಾರ್ಯ… https://t.co/yaLinn1fCi;avinash_jh83;Avi Malenadu 🇮🇳;kn;2021-06-14 14:31:18;Avinash
1404446035590537228;"ಲಸಿಕೆ ರಾಜಕಾರಣದಲ್ಲಿ ಲಾಭ ಕಾಣಲು ಸಾಧ್ಯವಾಗದ ಕಾರಣ ಅದನ್ನು ಇಲ್ಲಿಗೆ ಕೈ ಬಿಡಲಾಗಿದೆ.
ಇದರಿಂದ ಪೆಟ್ರೋಲ್, ಡೀಸೆಲ್ ಆಯ್ಕೆ ಮಾಡಿಕೊಂಡಿದ್… https://t.co/7BvAJpjcVD";avinash_jh83;Avi Malenadu 🇮🇳;kn;2021-06-14 14:30:02;Avinash
1404446025616605187;"ಸೀರೆಯಲ್ಲಿ ನೀರೆ ಮಾಡಿದ ಫೈಟಿಂಗ್ ಹೇಗಿದೆ ನೋಡಿ

#Radha #SharathBabu #Doddanna #Avinash #MukhyamantriChandru… https://t.co/awIoy8SLhj";playkannada;Playkannada;kn;2021-06-14 14:30:00;Avinash
1404445805621088262;@sassy_point Avinash;hereisyourdad;Avinash;es;2021-06-14 14:29:08;Avinash
1404445658380083204;@mla_avinash जी दयाल रेजीडेंसीय की स्थित जलभराव के कारण बहुत दयनीय है ।लालजी पांडेय जी स्थिति का जायजा लेते हुए। https://t.co/LHyqgnr8wo;Santosh61460785;Santosh Kumar Pandey;hi;2021-06-14 14:28:32;Avinash
