nconst;category;appearances;primaryName
nm5262613;actress;36;Pelin Akil
nm5519557;actor;36;Onur Adiguzel
nm8825009;actor;36;Anil Altan
nm8690065;actress;26;Zeynep Alkan
nm4755526;actor;17;Simon Lane
nm4489288;actor;16;Lewis Brindley
nm10535738;actress;13;Eden Gamliel
nm1483166;actor;13;Aidan Cook
nm0286175;actor;13;Wayne Forester
nm0254176;actress;13;Sue Elliott-Nichols
